id,nme,shortnme
695,smart00652,eIF1a
696,smart00653,eIF2B_5
697,smart00654,eIF6
698,smart00656,Amb_all
699,smart00657,RPOL4c
700,smart00658,RPOL8c
701,smart00659,RPOLCX
702,smart00660,DSD
703,smart00661,RPOL9
704,smart00662,RPOLD
705,smart00663,RPOLA_N
706,pfam00001,7tm_1
707,pfam00002,7tm_2
708,pfam00003,7tm_3
709,pfam00004,AAA
710,pfam00005,ABC_tran
711,pfam00006,ATP-synt_ab
712,pfam00007,Cys_knot
713,pfam00008,EGF
714,pfam00009,GTP_EFTU
715,pfam00010,HLH
716,pfam00011,HSP20
717,pfam00012,HSP70
718,pfam00013,KH_1
719,pfam00014,Kunitz_BPTI
720,pfam00015,MCPsignal
721,pfam00016,RuBisCO_large
722,pfam00017,SH2
723,pfam00018,SH3_1
724,pfam00019,TGF_beta
725,pfam00020,TNFR_c6
726,pfam00021,UPAR_LY6
727,pfam00022,Actin
728,pfam00023,Ank
729,pfam00024,PAN_1
730,pfam00025,Arf
731,pfam00026,Asp
732,pfam00027,cNMP_binding
733,pfam00028,Cadherin
734,pfam00029,Connexin
735,pfam00030,Crystall
736,pfam00031,Cystatin
737,pfam00032,Cytochrom_B_C
738,pfam00033,Cytochrome_B
739,pfam00034,Cytochrom_C
740,pfam00035,dsrm
741,pfam00036,EF-hand_1
742,pfam00037,Fer4
743,pfam00038,Filament
744,pfam00039,fn1
745,pfam00040,fn2
746,pfam00041,fn3
747,pfam00042,Globin
748,pfam00043,GST_C
749,pfam00044,Gp_dh_N
750,pfam00045,Hemopexin
751,pfam00046,Homeodomain
752,pfam00047,ig
753,pfam00048,IL8
754,pfam00049,Insulin
755,pfam00050,Kazal_1
756,pfam00051,Kringle
757,pfam00052,Laminin_B
758,pfam00053,Laminin_EGF
759,pfam00054,Laminin_G_1
760,pfam00055,Laminin_N
761,pfam00056,Ldh_1_N
762,pfam00057,Ldl_recept_a
763,pfam00058,Ldl_recept_b
764,pfam00059,Lectin_C
765,pfam00060,Lig_chan
766,pfam00061,Lipocalin
767,pfam00062,Lys
768,pfam00063,Myosin_head
